circuit,family,n_qubits,gate_count,t_count,toffoli_count,twoq_count,other_clifford_count,clifford_count,t_frac,toffoli_frac,twoq_frac,other_clifford_frac,h_count,s_count
structured_random_81,structured_random,5,61,5,0,28,28,56,0.08196721311475409,0.0,0.45901639344262296,0.45901639344262296,19,0
structured_random_82,structured_random,5,55,1,0,26,28,54,0.01818181818181818,0.0,0.4727272727272727,0.509090909090909,17,0
structured_random_83,structured_random,5,63,3,0,34,26,60,0.047619047619047616,0.0,0.5396825396825397,0.4126984126984127,17,0
structured_random_84,structured_random,5,45,3,0,19,23,42,0.06666666666666667,0.0,0.4222222222222222,0.5111111111111111,17,0
structured_random_85,structured_random,5,56,3,0,24,29,53,0.05357142857142857,0.0,0.42857142857142855,0.5178571428571429,20,0
structured_random_86,structured_random,5,57,5,0,27,25,52,0.08771929824561403,0.0,0.47368421052631576,0.43859649122807015,18,0
structured_random_87,structured_random,5,53,3,0,26,24,50,0.05660377358490566,0.0,0.49056603773584906,0.4528301886792453,17,0
structured_random_88,structured_random,5,77,5,0,40,32,72,0.06493506493506493,0.0,0.5194805194805194,0.4155844155844156,23,0
structured_random_89,structured_random,5,50,3,0,26,21,47,0.06,0.0,0.52,0.42,14,0
structured_random_90,structured_random,5,44,1,0,18,25,43,0.022727272727272728,0.0,0.4090909090909091,0.5681818181818182,15,0
structured_random_91,structured_random,5,43,2,0,18,23,41,0.046511627906976744,0.0,0.4186046511627907,0.5348837209302325,14,0
structured_random_92,structured_random,5,51,6,0,22,23,45,0.11764705882352941,0.0,0.43137254901960786,0.45098039215686275,17,0
structured_random_93,structured_random,5,53,4,0,27,22,49,0.07547169811320754,0.0,0.5094339622641509,0.41509433962264153,17,0
