circuit,method,initial_gates,final_gates,initial_2q,final_2q,initial_t,final_t
paper_ham15-low.qc,full_reduce,443,643,236,350,161,71
paper_ham15-low.qc,teleport_reduce,443,807,236,236,161,145
paper_ham15-low.qc,agent_R_v2,443,447,236,252,161,143
paper_ham15-low.qc,agent_P_v2,443,447,236,252,161,143
paper_ham15-low.qc,agent_A_v2,443,447,236,252,161,143
paper_hwb6.qc,basic_opt,259,235,116,111,105,85
paper_hwb6.qc,full_reduce,259,396,116,178,105,51
paper_hwb6.qc,teleport_reduce,259,470,116,116,105,96
paper_hwb6.qc,agent_R_v2,259,236,116,110,105,85
paper_hwb6.qc,agent_P_v2,259,235,116,110,105,83
paper_hwb6.qc,agent_A_v2,259,237,116,111,105,85
paper_mod5_4,basic_opt,63,54,28,27,28,18
paper_mod5_4,full_reduce,63,62,28,28,28,5
paper_mod5_4,teleport_reduce,63,118,28,28,28,22
paper_mod5_4,agent_R_v2,63,52,28,26,28,16
paper_mod5_4,agent_P_v2,63,49,28,25,28,12
paper_mod5_4,agent_A_v2,63,54,28,27,28,18
paper_mod_mult_55,basic_opt,119,103,48,48,49,43
paper_mod_mult_55,full_reduce,119,225,48,103,49,26
paper_mod_mult_55,teleport_reduce,119,219,48,48,49,45
paper_mod_mult_55,agent_R_v2,119,98,48,47,49,37
paper_mod_mult_55,agent_P_v2,119,100,48,47,49,39
paper_mod_mult_55,agent_A_v2,119,100,48,47,49,39
paper_mod_red_21,basic_opt,278,245,105,105,119,106
paper_mod_red_21,full_reduce,278,385,105,164,119,52
paper_mod_red_21,teleport_reduce,278,497,105,105,119,113
paper_mod_red_21,agent_R_v2,278,243,105,104,119,104
paper_mod_red_21,agent_P_v2,278,238,105,103,119,95
paper_mod_red_21,agent_A_v2,278,245,105,105,119,106
paper_qcla_adder_10,basic_opt,521,472,233,209,238,207
paper_qcla_adder_10,full_reduce,521,964,233,478,238,123
paper_qcla_adder_10,teleport_reduce,521,970,233,215,238,221
paper_qcla_adder_10,agent_R_v2,521,469,233,207,238,205
paper_qcla_adder_10,agent_P_v2,521,472,233,209,238,207
paper_qcla_adder_10,agent_A_v2,521,472,233,209,238,207
paper_qcla_com_7,basic_opt,443,391,186,174,203,168
paper_qcla_com_7,full_reduce,443,615,186,298,203,66
paper_qcla_com_7,teleport_reduce,443,810,186,174,203,177
paper_qcla_com_7,agent_R_v2,443,391,186,174,203,168
paper_qcla_com_7,agent_P_v2,443,391,186,174,203,168
paper_qcla_com_7,agent_A_v2,443,391,186,174,203,168
paper_qcla_mod_7,basic_opt,884,829,382,366,413,349
paper_qcla_mod_7,full_reduce,884,1439,382,734,413,179
paper_qcla_mod_7,teleport_reduce,884,1568,382,366,413,360
paper_qcla_mod_7,agent_R_v2,884,838,382,366,413,348
paper_qcla_mod_7,agent_P_v2,884,838,382,366,413,348
paper_qcla_mod_7,agent_A_v2,884,838,382,366,413,348
paper_qft_4.qasm,basic_opt,187,158,46,45,69,50
paper_qft_4.qasm,full_reduce,187,233,46,66,69,40
paper_qft_4.qasm,teleport_reduce,187,248,46,46,69,50
paper_qft_4.qasm,agent_R_v2,187,158,46,45,69,50
paper_qft_4.qasm,agent_P_v2,187,158,46,45,69,50
paper_qft_4.qasm,agent_A_v2,187,157,46,44,69,48
paper_rc_adder_6,basic_opt,200,171,93,81,77,59
paper_rc_adder_6,full_reduce,200,303,93,140,77,31
